window,q,rho,epsilon
21,2.0,-0.7014040724855968,1e-18
21,5.0,-0.8398531943576456,1e-18
34,-5.0,-0.36708960385855616,1e-18
34,-2.0,-0.47717980542645466,1e-18
34,0.0,-0.5628059706404296,1e-18
34,2.0,-0.6690069850512866,1e-18
34,5.0,-0.8176721580166443,1e-18
55,-5.0,-0.3637578273424384,1e-18
55,-2.0,-0.41439388873133803,1e-18
55,0.0,-0.49179249620061516,1e-18
55,2.0,-0.5959686900803796,1e-18
55,5.0,-0.7570777263006576,1e-18
89,-5.0,-0.2581656950481798,1e-18
89,-2.0,-0.30464651799991105,1e-18
89,0.0,-0.3518580210672351,1e-18
89,2.0,-0.4199058672761559,1e-18
89,5.0,-0.5739742110858871,1e-18
144,-5.0,-0.08830695805759237,1e-18
144,-2.0,-0.1142745846688643,1e-18
144,0.0,-0.09389717393839674,1e-18
144,2.0,-0.09960718916131298,1e-18
144,5.0,-0.1873346698384215,1e-18
233,-5.0,0.2314253678787053,1e-18
233,-2.0,0.21098231119530125,1e-18
233,0.0,0.22995945764811468,1e-18
233,2.0,0.252789557026985,1e-18
233,5.0,0.2746149546445663,1e-18
377,-5.0,0.3800643094711525,1e-18
377,-2.0,0.43490575381980145,1e-18
377,0.0,0.45260306971328135,1e-18
377,2.0,0.4589622580232635,1e-18
377,5.0,0.45343514304707333,1e-18
610,-5.0,0.39305714616021753,1e-18
610,-2.0,0.4214036348649,1e-18
610,0.0,0.4018831529163723,1e-18
610,2.0,0.35713160683967843,1e-18
610,5.0,0.24647824889178727,1e-18
987,-5.0,0.4070485306502357,1e-18
987,-2.0,0.3364598625806881,1e-18
987,0.0,0.2645991717203577,1e-18
987,2.0,0.16619179372579237,1e-18
987,5.0,-0.011736414378348877,1e-18
1597,-5.0,0.31825422228735156,1e-18
1597,-2.0,0.2182061286984506,1e-18
1597,0.0,0.09549232842931696,1e-18
1597,2.0,-0.06739531656768243,1e-18
1597,5.0,-0.2866227238229371,1e-18
13,-5.0,-0.256869601773132,1e-16
13,-2.0,-0.48112212185699865,1e-16
13,0.0,-0.6024705767573779,1e-16
13,2.0,-0.7272096248037574,1e-16
13,5.0,-0.8774198668949643,1e-16
21,-5.0,-0.35988901046030813,1e-16
21,-2.0,-0.49292829691137696,1e-16
21,0.0,-0.5897002266460194,1e-16
21,2.0,-0.7014040724855968,1e-16
21,5.0,-0.8398531943576456,1e-16
34,-5.0,-0.36708960385855616,1e-16
34,-2.0,-0.47717980542645466,1e-16
34,0.0,-0.5628059706404296,1e-16
34,2.0,-0.6690069850512866,1e-16
34,5.0,-0.8176721580166443,1e-16
55,-5.0,-0.3637578273424384,1e-16
55,-2.0,-0.41439388873133803,1e-16
55,0.0,-0.49179249620061516,1e-16
55,2.0,-0.5959686900803796,1e-16
55,5.0,-0.7570777263006576,1e-16
89,-5.0,-0.2581656950481798,1e-16
89,-2.0,-0.30464651799991105,1e-16
89,0.0,-0.3518580210672351,1e-16
89,2.0,-0.4199058672761559,1e-16
89,5.0,-0.5739742110858871,1e-16
144,-5.0,-0.08830695805759237,1e-16
144,-2.0,-0.1142745846688643,1e-16
144,0.0,-0.09389717393839674,1e-16
144,2.0,-0.09960718916131298,1e-16
144,5.0,-0.1873346698384215,1e-16
233,-5.0,0.2314253678787053,1e-16
233,-2.0,0.21098231119530125,1e-16
233,0.0,0.22995945764811468,1e-16
233,2.0,0.252789557026985,1e-16
233,5.0,0.2746149546445663,1e-16
377,-5.0,0.3800643094711525,1e-16
377,-2.0,0.43490575381980145,1e-16
377,0.0,0.45260306971328135,1e-16
377,2.0,0.4589622580232635,1e-16
377,5.0,0.45343514304707333,1e-16
610,-5.0,0.39305714616021753,1e-16
610,-2.0,0.4214036348649,1e-16
610,0.0,0.4018831529163723,1e-16
610,2.0,0.35713160683967843,1e-16
610,5.0,0.24647824889178727,1e-16
987,-5.0,0.4070485306502357,1e-16
987,-2.0,0.3364598625806881,1e-16
987,0.0,0.2645991717203577,1e-16
987,2.0,0.16619179372579237,1e-16
987,5.0,-0.011736414378348877,1e-16
1597,-5.0,0.31825422228735156,1e-16
1597,-2.0,0.2182061286984506,1e-16
1597,0.0,0.09549232842931696,1e-16
1597,2.0,-0.06739531656768243,1e-16
1597,5.0,-0.2866227238229371,1e-16
13,-5.0,-0.256869601773132,1e-14
13,-2.0,-0.48112212185699865,1e-14
13,0.0,-0.6024705767573779,1e-14
13,2.0,-0.7272096248037574,1e-14
13,5.0,-0.8774198668949643,1e-14
21,-5.0,-0.35988901046030813,1e-14
21,-2.0,-0.49292829691137696,1e-14
21,0.0,-0.5897002266460194,1e-14
21,2.0,-0.7014040724855968,1e-14
21,5.0,-0.8398531943576456,1e-14
34,-5.0,-0.36708960385855616,1e-14
34,-2.0,-0.47717980542645466,1e-14
34,0.0,-0.5628059706404296,1e-14
34,2.0,-0.6690069850512866,1e-14
34,5.0,-0.8176721580166443,1e-14
55,-5.0,-0.3637578273424384,1e-14
55,-2.0,-0.41439388873133803,1e-14
55,0.0,-0.49179249620061516,1e-14
55,2.0,-0.5959686900803796,1e-14
55,5.0,-0.7570777263006576,1e-14
89,-5.0,-0.2581656950481798,1e-14
89,-2.0,-0.30464651799991105,1e-14
89,0.0,-0.3518580210672351,1e-14
89,2.0,-0.4199058672761559,1e-14
89,5.0,-0.5739742110858871,1e-14
144,-5.0,-0.08830695805759237,1e-14
144,-2.0,-0.1142745846688643,1e-14
144,0.0,-0.09389717393839674,1e-14
144,2.0,-0.09960718916131298,1e-14
144,5.0,-0.1873346698384215,1e-14
233,-5.0,0.2314253678787053,1e-14
233,-2.0,0.21098231119530125,1e-14
233,0.0,0.22995945764811468,1e-14
233,2.0,0.252789557026985,1e-14
233,5.0,0.2746149546445663,1e-14
377,-5.0,0.3800643094711525,1e-14
377,-2.0,0.43490575381980145,1e-14
377,0.0,0.45260306971328135,1e-14
377,2.0,0.4589622580232635,1e-14
377,5.0,0.45343514304707333,1e-14
610,-5.0,0.39305714616021753,1e-14
610,-2.0,0.4214036348649,1e-14
610,0.0,0.4018831529163723,1e-14
610,2.0,0.35713160683967843,1e-14
610,5.0,0.24647824889178727,1e-14
987,-5.0,0.4070485306502357,1e-14
987,-2.0,0.3364598625806881,1e-14
987,0.0,0.2645991717203577,1e-14
987,2.0,0.16619179372579237,1e-14
987,5.0,-0.011736414378348877,1e-14
1597,-5.0,0.31825422228735156,1e-14
1597,-2.0,0.2182061286984506,1e-14
1597,0.0,0.09549232842931696,1e-14
1597,2.0,-0.06739531656768243,1e-14
1597,5.0,-0.2866227238229371,1e-14
13,-5.0,-0.256869601773132,1e-12
13,-2.0,-0.48112212185699865,1e-12
13,0.0,-0.6024705767573779,1e-12
13,2.0,-0.7272096248037574,1e-12
13,5.0,-0.8774198668949643,1e-12
21,-5.0,-0.35988901046030813,1e-12
21,-2.0,-0.49292829691137696,1e-12
21,0.0,-0.5897002266460194,1e-12
21,2.0,-0.7014040724855968,1e-12
21,5.0,-0.8398531943576456,1e-12
34,-5.0,-0.36708960385855616,1e-12
34,-2.0,-0.47717980542645466,1e-12
34,0.0,-0.5628059706404296,1e-12
34,2.0,-0.6690069850512866,1e-12
34,5.0,-0.8176721580166443,1e-12
55,-5.0,-0.3637578273424384,1e-12
55,-2.0,-0.41439388873133803,1e-12
55,0.0,-0.49179249620061516,1e-12
55,2.0,-0.5959686900803796,1e-12
55,5.0,-0.7570777263006576,1e-12
89,-5.0,-0.2581656950481798,1e-12
89,-2.0,-0.30464651799991105,1e-12
89,0.0,-0.3518580210672351,1e-12
89,2.0,-0.4199058672761559,1e-12
89,5.0,-0.5739742110858871,1e-12
144,-5.0,-0.08830695805759237,1e-12
144,-2.0,-0.1142745846688643,1e-12
144,0.0,-0.09389717393839674,1e-12
144,2.0,-0.09960718916131298,1e-12
144,5.0,-0.1873346698384215,1e-12
233,-5.0,0.2314253678787053,1e-12
233,-2.0,0.21098231119530125,1e-12
233,0.0,0.22995945764811468,1e-12
233,2.0,0.252789557026985,1e-12
233,5.0,0.2746149546445663,1e-12
377,-5.0,0.3800643094711525,1e-12
377,-2.0,0.43490575381980145,1e-12
377,0.0,0.45260306971328135,1e-12
377,2.0,0.4589622580232635,1e-12
377,5.0,0.45343514304707333,1e-12
610,-5.0,0.39305714616021753,1e-12
610,-2.0,0.4214036348649,1e-12
610,0.0,0.4018831529163723,1e-12
610,2.0,0.35713160683967843,1e-12
610,5.0,0.24647824889178727,1e-12
987,-5.0,0.4070485306502357,1e-12
987,-2.0,0.3364598625806881,1e-12
987,0.0,0.2645991717203577,1e-12
987,2.0,0.16619179372579237,1e-12
987,5.0,-0.011736414378348877,1e-12
1597,-5.0,0.31825422228735156,1e-12
1597,-2.0,0.2182061286984506,1e-12
1597,0.0,0.09549232842931696,1e-12
1597,2.0,-0.06739531656768243,1e-12
1597,5.0,-0.2866227238229371,1e-12
13,-5.0,-0.256869601773132,1e-10
13,-2.0,-0.48112212185699865,1e-10
13,0.0,-0.6024705767573779,1e-10
13,2.0,-0.7272096248037574,1e-10
13,5.0,-0.8774198668949643,1e-10
21,-5.0,-0.35988901046030813,1e-10
21,-2.0,-0.49292829691137696,1e-10
21,0.0,-0.5897002266460194,1e-10
21,2.0,-0.7014040724855968,1e-10
21,5.0,-0.8398531943576456,1e-10
34,-5.0,-0.36708960385855616,1e-10
34,-2.0,-0.47717980542645466,1e-10
34,0.0,-0.5628059706404296,1e-10
34,2.0,-0.6690069850512866,1e-10
34,5.0,-0.8176721580166443,1e-10
55,-5.0,-0.3637578273424384,1e-10
55,-2.0,-0.41439388873133803,1e-10
55,0.0,-0.49179249620061516,1e-10
55,2.0,-0.5959686900803796,1e-10
55,5.0,-0.7570777263006576,1e-10
89,-5.0,-0.2581656950481798,1e-10
89,-2.0,-0.30464651799991105,1e-10
89,0.0,-0.3518580210672351,1e-10
89,2.0,-0.4199058672761559,1e-10
89,5.0,-0.5739742110858871,1e-10
144,-5.0,-0.08830695805759237,1e-10
144,-2.0,-0.1142745846688643,1e-10
144,0.0,-0.09389717393839674,1e-10
144,2.0,-0.09960718916131298,1e-10
144,5.0,-0.1873346698384215,1e-10
233,-5.0,0.2314253678787053,1e-10
233,-2.0,0.21098231119530125,1e-10
233,0.0,0.22995945764811468,1e-10
233,2.0,0.252789557026985,1e-10
233,5.0,0.2746149546445663,1e-10
377,-5.0,0.3800643094711525,1e-10
377,-2.0,0.43490575381980145,1e-10
377,0.0,0.45260306971328135,1e-10
377,2.0,0.4589622580232635,1e-10
377,5.0,0.45343514304707333,1e-10
610,-5.0,0.39305714616021753,1e-10
610,-2.0,0.4214036348649,1e-10
610,0.0,0.4018831529163723,1e-10
610,2.0,0.35713160683967843,1e-10
610,5.0,0.24647824889178727,1e-10
987,-5.0,0.4070485306502357,1e-10
987,-2.0,0.3364598625806881,1e-10
987,0.0,0.2645991717203577,1e-10
987,2.0,0.16619179372579237,1e-10
987,5.0,-0.011736414378348877,1e-10
1597,-5.0,0.31825422228735156,1e-10
1597,-2.0,0.2182061286984506,1e-10
1597,0.0,0.09549232842931696,1e-10
1597,2.0,-0.06739531656768243,1e-10
1597,5.0,-0.2866227238229371,1e-10
13,-5.0,-0.256869601773132,1e-08
13,-2.0,-0.48112212185699865,1e-08
13,0.0,-0.6024705767573779,1e-08
13,2.0,-0.7272096248037574,1e-08
13,5.0,-0.8774198668949643,1e-08
21,-5.0,-0.35988901046030813,1e-08
21,-2.0,-0.49292829691137696,1e-08
21,0.0,-0.5897002266460194,1e-08
21,2.0,-0.7014040724855968,1e-08
21,5.0,-0.8398531943576456,1e-08
34,-5.0,-0.36708960385855616,1e-08
34,-2.0,-0.47717980542645466,1e-08
34,0.0,-0.5628059706404296,1e-08
34,2.0,-0.6690069850512866,1e-08
34,5.0,-0.8176721580166443,1e-08
55,-5.0,-0.3637578273424384,1e-08
55,-2.0,-0.41439388873133803,1e-08
55,0.0,-0.49179249620061516,1e-08
55,2.0,-0.5959686900803796,1e-08
55,5.0,-0.7570777263006576,1e-08
89,-5.0,-0.2581656950481798,1e-08
89,-2.0,-0.30464651799991105,1e-08
89,0.0,-0.3518580210672351,1e-08
89,2.0,-0.4199058672761559,1e-08
89,5.0,-0.5739742110858871,1e-08
144,-5.0,-0.08830695805759237,1e-08
144,-2.0,-0.1142745846688643,1e-08
144,0.0,-0.09389717393839674,1e-08
144,2.0,-0.09960718916131298,1e-08
144,5.0,-0.1873346698384215,1e-08
233,-5.0,0.2314253678787053,1e-08
233,-2.0,0.21098231119530125,1e-08
233,0.0,0.22995945764811468,1e-08
233,2.0,0.252789557026985,1e-08
233,5.0,0.2746149546445663,1e-08
377,-5.0,0.3800643094711525,1e-08
377,-2.0,0.43490575381980145,1e-08
377,0.0,0.45260306971328135,1e-08
377,2.0,0.4589622580232635,1e-08
377,5.0,0.45343514304707333,1e-08
610,-5.0,0.39305714616021753,1e-08
610,-2.0,0.4214036348649,1e-08
610,0.0,0.4018831529163723,1e-08
610,2.0,0.35713160683967843,1e-08
610,5.0,0.24647824889178727,1e-08
987,-5.0,0.4070485306502357,1e-08
987,-2.0,0.3364598625806881,1e-08
987,0.0,0.2645991717203577,1e-08
987,2.0,0.16619179372579237,1e-08
987,5.0,-0.011736414378348877,1e-08
1597,-5.0,0.31825422228735156,1e-08
1597,-2.0,0.2182061286984506,1e-08
1597,0.0,0.09549232842931696,1e-08
1597,2.0,-0.06739531656768243,1e-08
1597,5.0,-0.2866227238229371,1e-08
13,-5.0,-0.256869601773132,1e-06
13,-2.0,-0.48112212185699865,1e-06
13,0.0,-0.6024705767573779,1e-06
13,2.0,-0.7272096248037574,1e-06
13,5.0,-0.8774198668949643,1e-06
21,-5.0,-0.35988901046030813,1e-06
21,-2.0,-0.49292829691137696,1e-06
21,0.0,-0.5897002266460194,1e-06
21,2.0,-0.7014040724855968,1e-06
21,5.0,-0.8398531943576456,1e-06
34,-5.0,-0.36708960385855616,1e-06
34,-2.0,-0.47717980542645466,1e-06
34,0.0,-0.5628059706404296,1e-06
34,2.0,-0.6690069850512866,1e-06
34,5.0,-0.8176721580166443,1e-06
55,-5.0,-0.3637578273424384,1e-06
55,-2.0,-0.41439388873133803,1e-06
55,0.0,-0.49179249620061516,1e-06
55,2.0,-0.5959686900803796,1e-06
55,5.0,-0.7570777263006576,1e-06
89,-5.0,-0.2581656950481798,1e-06
89,-2.0,-0.30464651799991105,1e-06
89,0.0,-0.3518580210672351,1e-06
89,2.0,-0.4199058672761559,1e-06
89,5.0,-0.5739742110858871,1e-06
144,-5.0,-0.08830695805759237,1e-06
144,-2.0,-0.1142745846688643,1e-06
144,0.0,-0.09389717393839674,1e-06
144,2.0,-0.09960718916131298,1e-06
144,5.0,-0.1873346698384215,1e-06
233,-5.0,0.2314253678787053,1e-06
233,-2.0,0.21098231119530125,1e-06
233,0.0,0.22995945764811468,1e-06
233,2.0,0.252789557026985,1e-06
233,5.0,0.2746149546445663,1e-06
377,-5.0,0.3800643094711525,1e-06
377,-2.0,0.43490575381980145,1e-06
377,0.0,0.45260306971328135,1e-06
377,2.0,0.4589622580232635,1e-06
377,5.0,0.45343514304707333,1e-06
610,-5.0,0.39305714616021753,1e-06
610,-2.0,0.4214036348649,1e-06
610,0.0,0.4018831529163723,1e-06
610,2.0,0.35713160683967843,1e-06
610,5.0,0.24647824889178727,1e-06
987,-5.0,0.4070485306502357,1e-06
987,-2.0,0.3364598625806881,1e-06
987,0.0,0.2645991717203577,1e-06
987,2.0,0.16619179372579237,1e-06
987,5.0,-0.011736414378348877,1e-06
1597,-5.0,0.31825422228735156,1e-06
1597,-2.0,0.2182061286984506,1e-06
1597,0.0,0.09549232842931696,1e-06
1597,2.0,-0.06739531656768243,1e-06
1597,5.0,-0.2866227238229371,1e-06
