window,q,rho,epsilon
55,-5.0,0.5437899996152473,1e-16
55,-2.0,0.6518094038392328,1e-16
55,0.0,0.7380201495012944,1e-16
55,2.0,0.8103291055328333,1e-16
55,5.0,0.9040557427214962,1e-16
89,-5.0,0.5235879832236275,1e-16
89,-2.0,0.6467995036069709,1e-16
89,0.0,0.7296813257227702,1e-16
89,2.0,0.7973822044661113,1e-16
89,5.0,0.8803685729565534,1e-16
144,-5.0,0.5209131626275729,1e-16
144,-2.0,0.6290275535836518,1e-16
144,0.0,0.7123659738274817,1e-16
144,2.0,0.7850731656944276,1e-16
144,5.0,0.8643125101807166,1e-16
233,-5.0,0.4946911907003508,1e-16
233,-2.0,0.6205932729264306,1e-16
233,0.0,0.7031084135636054,1e-16
233,2.0,0.7723202086049351,1e-16
233,5.0,0.8642903657077373,1e-16
377,-5.0,0.5701199453074047,1e-16
377,-2.0,0.6532297829853274,1e-16
377,0.0,0.7155066771345435,1e-16
377,2.0,0.7651074467780644,1e-16
377,5.0,0.8806960373602148,1e-16
610,-5.0,0.6757602265144899,1e-16
610,-2.0,0.7187511153220337,1e-16
610,0.0,0.7491188172997965,1e-16
610,2.0,0.7874363605120118,1e-16
610,5.0,0.877289531583637,1e-16
987,-5.0,0.7578933682981855,1e-16
987,-2.0,0.7731423181535997,1e-16
987,0.0,0.7818291709890904,1e-16
987,2.0,0.8095657849785307,1e-16
987,5.0,0.8553271120871326,1e-16
1597,-5.0,0.7820296368697195,1e-16
1597,-2.0,0.7620112364128948,1e-16
1597,0.0,0.7820025573744088,1e-16
1597,2.0,0.8246806948128982,1e-16
1597,5.0,0.8537494179807472,1e-16
13,-5.0,0.4862383546806023,1e-14
13,-2.0,0.6306758619789049,1e-14
13,0.0,0.7393889705291667,1e-14
13,2.0,0.8374590998908342,1e-14
13,5.0,0.9308015159313308,1e-14
21,-5.0,0.5407216979793836,1e-14
21,-2.0,0.6399452458136247,1e-14
21,0.0,0.7363721829653223,1e-14
21,2.0,0.824573052201571,1e-14
21,5.0,0.920866424458111,1e-14
34,-5.0,0.5381963289930909,1e-14
34,-2.0,0.6449132737197201,1e-14
34,0.0,0.7358635479893716,1e-14
34,2.0,0.8190193642295784,1e-14
34,5.0,0.9257275396813018,1e-14
55,-5.0,0.5437899996152473,1e-14
55,-2.0,0.6518094038392328,1e-14
55,0.0,0.7380201495012944,1e-14
55,2.0,0.8103291055328333,1e-14
55,5.0,0.9040557427214962,1e-14
89,-5.0,0.5235879832236275,1e-14
89,-2.0,0.6467995036069709,1e-14
89,0.0,0.7296813257227702,1e-14
89,2.0,0.7973822044661113,1e-14
89,5.0,0.8803685729565534,1e-14
144,-5.0,0.5209131626275729,1e-14
144,-2.0,0.6290275535836518,1e-14
144,0.0,0.7123659738274817,1e-14
144,2.0,0.7850731656944276,1e-14
144,5.0,0.8643125101807166,1e-14
233,-5.0,0.4946911907003508,1e-14
233,-2.0,0.6205932729264306,1e-14
233,0.0,0.7031084135636054,1e-14
233,2.0,0.7723202086049351,1e-14
233,5.0,0.8642903657077373,1e-14
377,-5.0,0.5701199453074047,1e-14
377,-2.0,0.6532297829853274,1e-14
377,0.0,0.7155066771345435,1e-14
377,2.0,0.7651074467780644,1e-14
377,5.0,0.8806960373602148,1e-14
610,-5.0,0.6757602265144899,1e-14
610,-2.0,0.7187511153220337,1e-14
610,0.0,0.7491188172997965,1e-14
610,2.0,0.7874363605120118,1e-14
610,5.0,0.877289531583637,1e-14
987,-5.0,0.7578933682981855,1e-14
987,-2.0,0.7731423181535997,1e-14
987,0.0,0.7818291709890904,1e-14
987,2.0,0.8095657849785307,1e-14
987,5.0,0.8553271120871326,1e-14
1597,-5.0,0.7820296368697195,1e-14
1597,-2.0,0.7620112364128948,1e-14
1597,0.0,0.7820025573744088,1e-14
1597,2.0,0.8246806948128982,1e-14
1597,5.0,0.8537494179807472,1e-14
13,-5.0,0.4862383546806023,1e-12
13,-2.0,0.6306758619789049,1e-12
13,0.0,0.7393889705291667,1e-12
13,2.0,0.8374590998908342,1e-12
13,5.0,0.9308015159313308,1e-12
21,-5.0,0.5407216979793836,1e-12
21,-2.0,0.6399452458136247,1e-12
21,0.0,0.7363721829653223,1e-12
21,2.0,0.824573052201571,1e-12
21,5.0,0.920866424458111,1e-12
34,-5.0,0.5381963289930909,1e-12
34,-2.0,0.6449132737197201,1e-12
34,0.0,0.7358635479893716,1e-12
34,2.0,0.8190193642295784,1e-12
34,5.0,0.9257275396813018,1e-12
55,-5.0,0.5437899996152473,1e-12
55,-2.0,0.6518094038392328,1e-12
55,0.0,0.7380201495012944,1e-12
55,2.0,0.8103291055328333,1e-12
55,5.0,0.9040557427214962,1e-12
89,-5.0,0.5235879832236275,1e-12
89,-2.0,0.6467995036069709,1e-12
89,0.0,0.7296813257227702,1e-12
89,2.0,0.7973822044661113,1e-12
89,5.0,0.8803685729565534,1e-12
144,-5.0,0.5209131626275729,1e-12
144,-2.0,0.6290275535836518,1e-12
144,0.0,0.7123659738274817,1e-12
144,2.0,0.7850731656944276,1e-12
144,5.0,0.8643125101807166,1e-12
233,-5.0,0.4946911907003508,1e-12
233,-2.0,0.6205932729264306,1e-12
233,0.0,0.7031084135636054,1e-12
233,2.0,0.7723202086049351,1e-12
233,5.0,0.8642903657077373,1e-12
377,-5.0,0.5701199453074047,1e-12
377,-2.0,0.6532297829853274,1e-12
377,0.0,0.7155066771345435,1e-12
377,2.0,0.7651074467780644,1e-12
377,5.0,0.8806960373602148,1e-12
610,-5.0,0.6757602265144899,1e-12
610,-2.0,0.7187511153220337,1e-12
610,0.0,0.7491188172997965,1e-12
610,2.0,0.7874363605120118,1e-12
610,5.0,0.877289531583637,1e-12
987,-5.0,0.7578933682981855,1e-12
987,-2.0,0.7731423181535997,1e-12
987,0.0,0.7818291709890904,1e-12
987,2.0,0.8095657849785307,1e-12
987,5.0,0.8553271120871326,1e-12
1597,-5.0,0.7820296368697195,1e-12
1597,-2.0,0.7620112364128948,1e-12
1597,0.0,0.7820025573744088,1e-12
1597,2.0,0.8246806948128982,1e-12
1597,5.0,0.8537494179807472,1e-12
13,-5.0,0.4862383546806023,1e-10
13,-2.0,0.6306758619789049,1e-10
13,0.0,0.7393889705291667,1e-10
13,2.0,0.8374590998908342,1e-10
13,5.0,0.9308015159313308,1e-10
21,-5.0,0.5407216979793836,1e-10
21,-2.0,0.6399452458136247,1e-10
21,0.0,0.7363721829653223,1e-10
21,2.0,0.824573052201571,1e-10
21,5.0,0.920866424458111,1e-10
34,-5.0,0.5381963289930909,1e-10
34,-2.0,0.6449132737197201,1e-10
34,0.0,0.7358635479893716,1e-10
34,2.0,0.8190193642295784,1e-10
34,5.0,0.9257275396813018,1e-10
55,-5.0,0.5437899996152473,1e-10
55,-2.0,0.6518094038392328,1e-10
55,0.0,0.7380201495012944,1e-10
55,2.0,0.8103291055328333,1e-10
55,5.0,0.9040557427214962,1e-10
89,-5.0,0.5235879832236275,1e-10
89,-2.0,0.6467995036069709,1e-10
89,0.0,0.7296813257227702,1e-10
89,2.0,0.7973822044661113,1e-10
89,5.0,0.8803685729565534,1e-10
144,-5.0,0.5209131626275729,1e-10
144,-2.0,0.6290275535836518,1e-10
144,0.0,0.7123659738274817,1e-10
144,2.0,0.7850731656944276,1e-10
144,5.0,0.8643125101807166,1e-10
233,-5.0,0.4946911907003508,1e-10
233,-2.0,0.6205932729264306,1e-10
233,0.0,0.7031084135636054,1e-10
233,2.0,0.7723202086049351,1e-10
233,5.0,0.8642903657077373,1e-10
377,-5.0,0.5701199453074047,1e-10
377,-2.0,0.6532297829853274,1e-10
377,0.0,0.7155066771345435,1e-10
377,2.0,0.7651074467780644,1e-10
377,5.0,0.8806960373602148,1e-10
610,-5.0,0.6757602265144899,1e-10
610,-2.0,0.7187511153220337,1e-10
610,0.0,0.7491188172997965,1e-10
610,2.0,0.7874363605120118,1e-10
610,5.0,0.877289531583637,1e-10
987,-5.0,0.7578933682981855,1e-10
987,-2.0,0.7731423181535997,1e-10
987,0.0,0.7818291709890904,1e-10
987,2.0,0.8095657849785307,1e-10
987,5.0,0.8553271120871326,1e-10
1597,-5.0,0.7820296368697195,1e-10
1597,-2.0,0.7620112364128948,1e-10
1597,0.0,0.7820025573744088,1e-10
1597,2.0,0.8246806948128982,1e-10
1597,5.0,0.8537494179807472,1e-10
13,-5.0,0.4862383546806023,1e-08
13,-2.0,0.6306758619789049,1e-08
13,0.0,0.7393889705291667,1e-08
13,2.0,0.8374590998908342,1e-08
13,5.0,0.9308015159313308,1e-08
21,-5.0,0.5407216979793836,1e-08
21,-2.0,0.6399452458136247,1e-08
21,0.0,0.7363721829653223,1e-08
21,2.0,0.824573052201571,1e-08
21,5.0,0.920866424458111,1e-08
34,-5.0,0.5381963289930909,1e-08
34,-2.0,0.6449132737197201,1e-08
34,0.0,0.7358635479893716,1e-08
34,2.0,0.8190193642295784,1e-08
34,5.0,0.9257275396813018,1e-08
55,-5.0,0.5437899996152473,1e-08
55,-2.0,0.6518094038392328,1e-08
55,0.0,0.7380201495012944,1e-08
55,2.0,0.8103291055328333,1e-08
55,5.0,0.9040557427214962,1e-08
89,-5.0,0.5235879832236275,1e-08
89,-2.0,0.6467995036069709,1e-08
89,0.0,0.7296813257227702,1e-08
89,2.0,0.7973822044661113,1e-08
89,5.0,0.8803685729565534,1e-08
144,-5.0,0.5209131626275729,1e-08
144,-2.0,0.6290275535836518,1e-08
144,0.0,0.7123659738274817,1e-08
144,2.0,0.7850731656944276,1e-08
144,5.0,0.8643125101807166,1e-08
233,-5.0,0.4946911907003508,1e-08
233,-2.0,0.6205932729264306,1e-08
233,0.0,0.7031084135636054,1e-08
233,2.0,0.7723202086049351,1e-08
233,5.0,0.8642903657077373,1e-08
377,-5.0,0.5701199453074047,1e-08
377,-2.0,0.6532297829853274,1e-08
377,0.0,0.7155066771345435,1e-08
377,2.0,0.7651074467780644,1e-08
377,5.0,0.8806960373602148,1e-08
610,-5.0,0.6757602265144899,1e-08
610,-2.0,0.7187511153220337,1e-08
610,0.0,0.7491188172997965,1e-08
610,2.0,0.7874363605120118,1e-08
610,5.0,0.877289531583637,1e-08
987,-5.0,0.7578933682981855,1e-08
987,-2.0,0.7731423181535997,1e-08
987,0.0,0.7818291709890904,1e-08
987,2.0,0.8095657849785307,1e-08
987,5.0,0.8553271120871326,1e-08
1597,-5.0,0.7820296368697195,1e-08
1597,-2.0,0.7620112364128948,1e-08
1597,0.0,0.7820025573744088,1e-08
1597,2.0,0.8246806948128982,1e-08
1597,5.0,0.8537494179807472,1e-08
13,-5.0,0.4862383546806023,1e-06
13,-2.0,0.6306758619789049,1e-06
13,0.0,0.7393889705291667,1e-06
13,2.0,0.8374590998908342,1e-06
13,5.0,0.9308015159313308,1e-06
21,-5.0,0.5407216979793836,1e-06
21,-2.0,0.6399452458136247,1e-06
21,0.0,0.7363721829653223,1e-06
21,2.0,0.824573052201571,1e-06
21,5.0,0.920866424458111,1e-06
34,-5.0,0.5381963289930909,1e-06
34,-2.0,0.6449132737197201,1e-06
34,0.0,0.7358635479893716,1e-06
34,2.0,0.8190193642295784,1e-06
34,5.0,0.9257275396813018,1e-06
55,-5.0,0.5437899996152473,1e-06
55,-2.0,0.6518094038392328,1e-06
55,0.0,0.7380201495012944,1e-06
55,2.0,0.8103291055328333,1e-06
55,5.0,0.9040557427214962,1e-06
89,-5.0,0.5235879832236275,1e-06
89,-2.0,0.6467995036069709,1e-06
89,0.0,0.7296813257227702,1e-06
89,2.0,0.7973822044661113,1e-06
89,5.0,0.8803685729565534,1e-06
144,-5.0,0.5209131626275729,1e-06
144,-2.0,0.6290275535836518,1e-06
144,0.0,0.7123659738274817,1e-06
144,2.0,0.7850731656944276,1e-06
144,5.0,0.8643125101807166,1e-06
233,-5.0,0.4946911907003508,1e-06
233,-2.0,0.6205932729264306,1e-06
233,0.0,0.7031084135636054,1e-06
233,2.0,0.7723202086049351,1e-06
233,5.0,0.8642903657077373,1e-06
377,-5.0,0.5701199453074047,1e-06
377,-2.0,0.6532297829853274,1e-06
377,0.0,0.7155066771345435,1e-06
377,2.0,0.7651074467780644,1e-06
377,5.0,0.8806960373602148,1e-06
610,-5.0,0.6757602265144899,1e-06
610,-2.0,0.7187511153220337,1e-06
610,0.0,0.7491188172997965,1e-06
610,2.0,0.7874363605120118,1e-06
610,5.0,0.877289531583637,1e-06
987,-5.0,0.7578933682981855,1e-06
987,-2.0,0.7731423181535997,1e-06
987,0.0,0.7818291709890904,1e-06
987,2.0,0.8095657849785307,1e-06
987,5.0,0.8553271120871326,1e-06
1597,-5.0,0.7820296368697195,1e-06
1597,-2.0,0.7620112364128948,1e-06
1597,0.0,0.7820025573744088,1e-06
1597,2.0,0.8246806948128982,1e-06
1597,5.0,0.8537494179807472,1e-06
