window,q,rho,epsilon
1597,-5.0,0.9142990979414265,1e-08
1597,-2.0,0.9161782815917803,1e-08
1597,0.0,0.9189692310157555,1e-08
1597,2.0,0.9237458797432062,1e-08
1597,5.0,0.9352490450483997,1e-08
13,-5.0,0.04593983307916635,1e-06
13,-2.0,0.2604967029091504,1e-06
13,0.0,0.44406812316160604,1e-06
13,2.0,0.6136097893178769,1e-06
13,5.0,0.7942575300806232,1e-06
21,-5.0,0.21764079704563385,1e-06
21,-2.0,0.4080784851043462,1e-06
21,0.0,0.546401240443596,1e-06
21,2.0,0.6714490047725886,1e-06
21,5.0,0.8051077914422268,1e-06
34,-5.0,0.41003612784852794,1e-06
34,-2.0,0.5235840852509621,1e-06
34,0.0,0.6177693122278937,1e-06
34,2.0,0.7159237681494526,1e-06
34,5.0,0.8340179363101841,1e-06
55,-5.0,0.4881896598902257,1e-06
55,-2.0,0.5942186253194923,1e-06
55,0.0,0.6808495388396429,1e-06
55,2.0,0.7714951195473815,1e-06
55,5.0,0.8779417963914532,1e-06
89,-5.0,0.5230805847790793,1e-06
89,-2.0,0.6519096529674718,1e-06
89,0.0,0.7461160102576069,1e-06
89,2.0,0.8408902899599859,1e-06
89,5.0,0.9332811637929596,1e-06
144,-5.0,0.6893912576492432,1e-06
144,-2.0,0.7422202897682824,1e-06
144,0.0,0.8311843720028791,1e-06
144,2.0,0.9092245639143751,1e-06
144,5.0,0.9622450618285686,1e-06
233,-5.0,0.7584102251113244,1e-06
233,-2.0,0.8567994227551237,1e-06
233,0.0,0.9156676308920427,1e-06
233,2.0,0.9496770271343137,1e-06
233,5.0,0.9728028636254037,1e-06
377,-5.0,0.9343618692651176,1e-06
377,-2.0,0.9465434333911279,1e-06
377,0.0,0.9550861115975067,1e-06
377,2.0,0.9628037376823116,1e-06
377,5.0,0.9716472840285117,1e-06
610,-5.0,0.9461392554832293,1e-06
610,-2.0,0.9497741246325541,1e-06
610,0.0,0.9522019377381926,1e-06
610,2.0,0.9544466310284652,1e-06
610,5.0,0.9571994682310704,1e-06
987,-5.0,0.9384811583957431,1e-06
987,-2.0,0.9389408593649033,1e-06
987,0.0,0.9398036787104311,1e-06
987,2.0,0.9413140156500757,1e-06
987,5.0,0.945153812093097,1e-06
1597,-5.0,0.9142990979414265,1e-06
1597,-2.0,0.9161782815917803,1e-06
1597,0.0,0.9189692310157555,1e-06
1597,2.0,0.9237458797432062,1e-06
1597,5.0,0.9352490450483997,1e-06
